make,model,year,price,mileage,overall_rating,complaint_count,reliability_score,age,depreciation_rate,fuel_type,engine,transmission,accident,clean_title
AUDI,S4 4.2 QUATTRO,2004,16000.0,74030.0,3.0,0.0,1.0,20,3.0,Gasoline,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,None reported,Yes
FORD,F-250 PLATINUM,2021,69998.0,48549.0,5.0,0.0,1.0,3,0.4499999999999999,Diesel,6.7L V8 32V DDI OHV Turbo Diesel,Automatic,None reported,
KIA,SELTOS S,2023,32500.0,5182.0,3.0,0.0,1.0,1,0.15,Gasoline,146.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,None reported,Yes
RAM,PROMASTER 2500 HIGH ROOF,2019,33500.0,31681.0,3.0,0.0,1.0,5,0.75,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,Yes
BMW,M760 M760I XDRIVE,2020,80998.0,23430.0,3.0,0.0,1.0,4,0.6,Gasoline,6.6 Liter Twin Turbo,Automatic,None reported,
MERCEDES-BENZ,E-CLASS E 400,2015,29000.0,30300.0,3.0,0.0,1.0,9,1.35,Gasoline,329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,Yes
CADILLAC,XTS LUXURY,2016,14599.0,112000.0,5.0,14.0,0.990450204638472,8,1.2,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,At least 1 accident or damage reported,Yes
INFINITI,Q50 PREMIUM,2014,19990.0,127356.0,5.0,0.0,1.0,10,1.5,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,At least 1 accident or damage reported,Yes
VOLKSWAGEN,TOUAREG V6 EXECUTIVE,2017,28890.0,50600.0,3.0,0.0,1.0,7,1.05,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,At least 1 accident or damage reported,Yes
CHEVROLET,SUBURBAN 1500 LTZ,2011,9950.0,194000.0,3.0,0.0,1.0,13,1.95,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,None reported,Yes
